Phylum,Class,Order,Family,Genus,tax_label
Actinobacteria,Acidimicrobiia,Microtrichales,Microtrichaceae,uncultured,Acidimicrobiia__Microtrichales__Microtrichaceae__uncultured
Acidobacteria,Acidobacteriia,Solibacterales,Solibacteraceae (Subgroup 3),Bryobacter,Acidobacteriia__Solibacterales__Solibacteraceae (Subgroup 3)__Bryobacter
Acidobacteria,Acidobacteriia,Solibacterales,Solibacteraceae (Subgroup 3),Elev-16S-1166,Acidobacteriia__Solibacterales__Solibacteraceae (Subgroup 3)__Elev-16S-1166
Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Actinobacteria__Corynebacteriales__Mycobacteriaceae__Mycobacterium
Proteobacteria,Alphaproteobacteria,Reyranellales,Reyranellaceae,Reyranella,Alphaproteobacteria__Reyranellales__Reyranellaceae__Reyranella
Proteobacteria,Alphaproteobacteria,Rhizobiales,A0839,Ambiguous_taxa,Alphaproteobacteria__Rhizobiales__A0839__Ambiguous_taxa
Proteobacteria,Alphaproteobacteria,Rhizobiales,Ambiguous_taxa,Ambiguous_taxa,Alphaproteobacteria__Rhizobiales__Ambiguous_taxa__Ambiguous_taxa
Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Pedomicrobium,Alphaproteobacteria__Rhizobiales__Hyphomicrobiaceae__Pedomicrobium
Proteobacteria,Alphaproteobacteria,Rhizobiales,KF-JG30-B3,NA,Alphaproteobacteria__Rhizobiales__KF-JG30-B3__NA
Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales Incertae Sedis,uncultured,Alphaproteobacteria__Rhizobiales__Rhizobiales Incertae Sedis__uncultured
Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Alphaproteobacteria__Rhizobiales__Xanthobacteraceae__Bradyrhizobium
Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,NA,Alphaproteobacteria__Sphingomonadales__Sphingomonadaceae__NA
Chloroflexi,Anaerolineae,Caldilineales,Caldilineaceae,uncultured,Anaerolineae__Caldilineales__Caldilineaceae__uncultured
Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,Ferruginibacter,Bacteroidia__Chitinophagales__Chitinophagaceae__Ferruginibacter
Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,Terrimonas,Bacteroidia__Chitinophagales__Chitinophagaceae__Terrimonas
Acidobacteria,Blastocatellia (Subgroup 4),Blastocatellales,Blastocatellaceae,JGI 0001001-H03,Blastocatellia (Subgroup 4)__Blastocatellales__Blastocatellaceae__JGI 0001001-H03
Acidobacteria,Blastocatellia (Subgroup 4),Blastocatellales,Blastocatellaceae,Stenotrophobacter,Blastocatellia (Subgroup 4)__Blastocatellales__Blastocatellaceae__Stenotrophobacter
Acidobacteria,Blastocatellia (Subgroup 4),Blastocatellales,Blastocatellaceae,uncultured,Blastocatellia (Subgroup 4)__Blastocatellales__Blastocatellaceae__uncultured
Acidobacteria,Blastocatellia (Subgroup 4),DS-100,uncultured bacterium,uncultured bacterium,Blastocatellia (Subgroup 4)__DS-100__uncultured bacterium__uncultured bacterium
Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,B1-7BS,uncultured bacterium,Gammaproteobacteria__Betaproteobacteriales__B1-7BS__uncultured bacterium
Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Nitrosomonadaceae,Ellin6067,Gammaproteobacteria__Betaproteobacteriales__Nitrosomonadaceae__Ellin6067
Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Nitrosomonadaceae,IS-44,Gammaproteobacteria__Betaproteobacteriales__Nitrosomonadaceae__IS-44
Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Nitrosomonadaceae,mle1-7,Gammaproteobacteria__Betaproteobacteriales__Nitrosomonadaceae__mle1-7
Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Nitrosomonadaceae,MND1,Gammaproteobacteria__Betaproteobacteriales__Nitrosomonadaceae__MND1
Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Nitrosomonadaceae,Nitrosomonas,Gammaproteobacteria__Betaproteobacteriales__Nitrosomonadaceae__Nitrosomonas
Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Nitrosomonadaceae,Nitrosospira,Gammaproteobacteria__Betaproteobacteriales__Nitrosomonadaceae__Nitrosospira
Proteobacteria,Gammaproteobacteria,PLTA13,uncultured sludge bacterium,uncultured sludge bacterium,Gammaproteobacteria__PLTA13__uncultured sludge bacterium__uncultured sludge bacterium
Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,Nitrospira,Nitrospira__Nitrospirales__Nitrospiraceae__Nitrospira
Planctomycetes,OM190,uncultured bacterium,uncultured bacterium,uncultured bacterium,OM190__uncultured bacterium__uncultured bacterium__uncultured bacterium
Planctomycetes,OM190,uncultured soil bacterium,uncultured soil bacterium,uncultured soil bacterium,OM190__uncultured soil bacterium__uncultured soil bacterium__uncultured soil bacterium
Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,Pirellula,Planctomycetacia__Pirellulales__Pirellulaceae__Pirellula
Planctomycetes,Planctomycetacia,Planctomycetales,Rubinisphaeraceae,uncultured,Planctomycetacia__Planctomycetales__Rubinisphaeraceae__uncultured
