tax_label,OBER.032,OBER.026,OBER.025,OBER.028,OBER.027,OBER.020,OBER.019,OBER.017,OBER.009,OBER.008,OBER.011,OBER.010,OBER.003,OBER.005,OBER.050,OBER.046,OBER.034,OBER.033,OBER.022,OBER.021,OBER.016,OBER.002,OBER.004,OBER.038,OBER.040,OBER.039,OBER.015,OBER.014,OBER.048,OBER.047,OBER.049,OBER.045,OBER.037,OBER.044,OBER.043
Acidimicrobiia__Microtrichales__Microtrichaceae__uncultured,0.019957179996941427,0.013755158184319119,0.010618792971734148,0.028280975311472906,0.010557723204039478,0.0337610754659334,0.013445378151260505,0.010546427206725257,0.02453753248738725,0.010166641186362941,0.017868051313378132,0.013151858082275578,0.017269045617788647,0.010764180471791741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acidobacteriia__Solibacterales__Solibacteraceae (Subgroup 3)__Bryobacter,0.015598715399908243,0.01925722145804677,0.015813598166539343,0.012382481082320568,0.011169765128911331,0.015505652306752216,0.011764705882352941,0.028429499426824607,0.01574682770218621,0.010931050298119553,0.028711056811240074,0.01529285823520416,0.02689692060823718,0.029086189785479808,0.010922700886037275,0.010159651669085631,0.02212524881335171,0.018575141415685677,0.024205864386072085,0.016293123231086972,0.021486465820461844,0.012525777132819063,0.022857579695741915,0,0,0,0,0,0,0,0,0,0,0,0
Acidobacteriia__Solibacterales__Solibacteraceae (Subgroup 3)__Elev-16S-1166,0.017586786970484783,0.02078557236741556,0.011841100076394195,0.01337613697164259,0,0.01825542315918118,0,0.07313717997707297,0,0,0.05956017104459377,0.01338125095580364,0.011920226178650569,0.027941064203374305,0,0.01443739974027958,0.11246363497167357,0.06902614279162207,0.12118204031765425,0.023254035034039625,0.021792322985165927,0,0.011314119715618073,0.011147591051385814,0.04773907729911396,0.01748759068346697,0,0,0,0,0,0,0,0,0
Alphaproteobacteria__Rhizobiales__Ambiguous_taxa__Ambiguous_taxa,0,0,0,0,0.026700328972534618,0.01008249312557287,0,0.03798242262132212,0,0,0.04024129505192425,0.019727787123413366,0,0.030460340484006414,0.027268560953253897,0.010770758536399052,0.032613688562241616,0.01765785048157774,0.050015271838729385,0.021647670771819782,0.026838966202783303,0,0.02194021863771883,0,0.02673388328750382,0.013592974417716687,0,0,0,0,0,0,0,0,0
Alphaproteobacteria__Rhizobiales__Hyphomicrobiaceae__Hyphomicrobium,0.028215323443951675,0.016582607366651382,0.016119174942704356,0.025987923259191317,0.04192487185372198,0.027497708524289642,0.031627196333078686,0.04142147497134123,0.030347041736737503,0.038067573765479285,0.04161576053756872,0.06904725493194679,0.033468327347749675,0.037025727154744635,0,0,0.027790537436839687,0.04525301941599144,0.028405620036652413,0.05308651418955098,0.07011775500841107,0.03963950202398228,0.06192187141655837,0,0.011992056217537427,0.01809851088201604,0.03492815652705594,0.03299977083492476,0,0,0,0,0,0,0
Alphaproteobacteria__Rhizobiales__Hyphomicrobiaceae__Pedomicrobium,0.03364428811744915,0.024300779458963778,0.02192513368983957,0.029886111748070012,0.07466911483436615,0.04437824625725634,0.032161955691367455,0.10118456247611769,0.03600366916373643,0.03072924629261581,0.10102321319486866,0.0838048631289188,0.0422556735691908,0.1073364378960226,0.027574091047968225,0.020395691696585443,0.07288317256162916,0.0664271518116496,0.10262675626145387,0.09095081465616156,0.09565682826120202,0.0336821202169098,0.09051295772494458,0.01366725204245247,0.0371982890314696,0.03314242077128675,0.025068786303882606,0.023833167825223437,0.010616359886962499,0.01130893252846336,0.02474982812619357,0.01190112908147696,0.011909306053897244,0,0
Alphaproteobacteria__Rhizobiales__KF-JG30-B3__NA,0,0,0,0,0.020885930686252007,0,0,0.01902942300343905,0,0,0.032529016493585826,0.010934393638170975,0,0.04511794793495687,0.030934922089825848,0.031166450232984495,0.028862348798040116,0.011160373031646537,0.0313836285888821,0,0,0,0.015977371760568765,0,0.026351970669110908,0,0,0,0,0,0,0,0,0,0
Alphaproteobacteria__Rhizobiales__Rhizobiales Incertae Sedis__uncultured,0.022939287352806238,0.012456059911355647,0.012299465240641712,0.020790338607353052,0,0.020164986251145735,0.026050420168067228,0,0.02392600519798196,0.03325179636141263,0,0.014987001070500076,0.022541453350653322,0,0,0,0,0,0,0.01491623957775568,0.01605750114696437,0.029175895516688307,0.012843054812323217,0,0,0,0.024533781718129012,0.025437323351921167,0,0,0,0,0.014123215512634553,0,0
Alphaproteobacteria__Rhizobiales__Xanthobacteraceae__Bradyrhizobium,0.027527144823367485,0.0311019410056549,0.030328495034377387,0.04066345639379347,0.02891898095019509,0.03605255117629086,0.021237585943468296,0.025678257546809323,0.0378382510319523,0.024996177954441215,0.03726328649969456,0.03058571647040832,0.03866432337434095,0.027101305443163602,0,0.012222137346268428,0.024345429490124023,0.018116495948631708,0.02955100794135614,0.018281955174787732,0.023627465973390428,0.02772473840983732,0.02882042657289198,0.016645033213713065,0.017262450351359607,0.011072928598701796,0.016279425252216446,0.017263769001604156,0,0,0,0,0.01366516527979235,0.01290470372632865,0.011916583912611717
Anaerolineae__Caldilineales__Caldilineaceae__uncultured,0,0,0,0,0.013694438069007728,0,0,0.019793656858998854,0,0,0.023747709224190592,0.02607432329102309,0,0.02435300404611039,0,0.05194408372164082,0.025034451079467158,0.028665341690872953,0.02955100794135614,0.05163313699992351,0.017128001223428658,0,0.038758504701475426,0.013514545315721159,0.05682859761686526,0.05505918289423444,0,0,0.019934316046742534,0.016734163673874838,0.06538843480253609,0.05294476655477571,0,0,0
