kingdom,phylum,OBER.002,OBER.003,OBER.004,OBER.005,OBER.008,OBER.009,OBER.010,OBER.011,OBER.014,OBER.015,OBER.016,OBER.017,OBER.019,OBER.020,OBER.021,OBER.022,OBER.025,OBER.026,OBER.027,OBER.028,OBER.032,OBER.033,OBER.034,OBER.037,OBER.038,OBER.039,OBER.040,OBER.043,OBER.044,OBER.045,OBER.046,OBER.047,OBER.048,OBER.049,OBER.050
Bacteria,Proteobacteria,39.81,46.08,66.13,59.44,34.54,38.94,61.05,57.7,35.01,37.48,66.54,54.73,32.46,41.87,60.26,53.1,38.46,43.65,62.99,38.95,40.37,54.41,47.85,15.52,19.53,28.31,24.98,18.82,16.51,24.64,29.83,23.02,20.48,33.02,36.7
Bacteria,Acidobacteria,12,12.45,7.66,10.49,13.91,11.68,8.47,13.89,12.18,12.11,9.55,15.98,14.28,11.91,8.55,19.33,10.21,12.48,6.17,11.53,13.59,14.31,19.91,39.83,32.72,24.23,18.95,22.18,18.96,10.57,11.52,26.03,25.51,15.65,10.69
Bacteria,Planctomycetes,3.3,6.24,7.15,9.43,1.86,4.85,9.83,8.32,1.4,1.6,9.77,13.38,2.49,6.1,11.49,9.69,5.85,7.75,11.61,7.57,4.95,8.38,9.07,14.17,24,25.51,30.22,18.71,33.58,36.57,31.46,27,27.87,23.23,30.02
Bacteria,Nitrospirae,26.44,14.93,2.27,1.58,22.12,15.44,2.74,1.76,29.16,22.87,2.93,2.11,32.38,22.17,2.09,1.32,31.82,20.6,6.26,26.74,16.56,3.6,2.74,19.76,14.74,3.13,1.29,29.41,17.33,5.79,2.91,11.41,11.05,3.99,4.43
Bacteria,Bacteroidetes,12.92,13.14,5.03,7.33,22.66,22.38,8.62,7.69,19.46,23.16,4.15,5.25,14.02,9.99,5.24,5.7,8.08,7.9,4.76,7.83,16.86,8.2,8.78,6.69,2.03,1.77,2.67,3.8,3.03,2.24,3.39,3.15,3,2.48,3.05
Bacteria,Chloroflexi,0.51,1.8,6.69,5.05,0.29,0.85,3.69,4.01,0.24,0.25,2.3,3.25,0.36,1.31,7.2,5.11,1.26,2.28,3.04,1.53,1.73,5.9,4.98,1.01,3.36,12.47,13.98,1.41,3.25,9.72,8.79,3.08,3.67,14.58,4.54
Bacteria,Actinobacteria,3.63,3.65,2.78,3.51,3.58,4.08,3.59,4.42,1.83,1.67,3.2,3.18,3.36,5.21,3.25,3.34,2.14,2.47,3.06,4.64,3.52,2.52,2.73,1.1,0.56,0.84,1.24,2.18,0.58,0.6,0.6,1.03,0.81,0.93,1.13
Bacteria,Verrucomicrobia,0.21,0.45,0.45,0.39,0.28,0.72,0.37,0.3,0.23,0.31,0.23,0.44,0.15,0.4,0.32,0.29,0.68,1.03,0.26,0.49,0.95,0.75,0.53,1.65,1.91,1.33,0.62,1.47,1.99,2.18,1.95,2.14,2.36,1.35,1.36
Bacteria,Gemmatimonadetes,0.11,0.34,0.56,1.48,0.14,0.38,0.54,0.94,0.08,0.12,0.68,0.82,0.11,0.32,0.65,1.02,0.31,0.47,1.19,0.37,0.33,0.93,1.6,0,0.25,0.78,1.17,0.48,0.58,1.09,2.81,0.85,0.88,1.89,2.18
Bacteria,Patescibacteria,0.44,0.07,0.18,0.03,0,0.08,0.14,0.1,0.02,0.02,0.04,0.07,0.02,0.07,0.08,0.05,0.31,0.17,0.02,0.09,0.61,0.22,0.09,0.11,0.27,0.56,0.31,1.08,2.74,2.7,1.86,1.06,2.67,0.85,0.31
