"";"tax_label";"filter_type";"mean_pct_before_backwash";"mean_pct_after_backwash";"stdev_before_backwash";"stdev_after_backwash";"n_samples_before_backwash";"n_samples_after_backwash"
"1";"Nitrospira__Nitrospirales__Nitrospiraceae__Nitrospira";"BODAC_1";25,327;17,293;7,182;3,901;8;9
"2";"Blastocatellia (Subgroup 4)__Blastocatellales__Blastocatellaceae__Stenotrophobacter";"BODAC_1";11,357;7,599;7,054;4,211;8;9
"3";"OM190__uncultured bacterium__uncultured bacterium__uncultured bacterium";"BODAC_1";10,574;5,483;2,401;5,186;2;4
"4";"Bacteroidia__Chitinophagales__Chitinophagaceae__Terrimonas";"BODAC_1";6,391;7,095;4,84;3,832;7;6
"5";"Gammaproteobacteria__PLTA13__uncultured sludge bacterium__uncultured sludge bacterium";"BODAC_2";6,725;3,11;2,527;1,441;9;9
"6";"Alphaproteobacteria__Rhizobiales__Hyphomicrobiaceae__Pedomicrobium";"BODAC_2";6,354;6,668;3,191;3,75;9;9
"7";"OM190__uncultured bacterium__uncultured bacterium__uncultured bacterium";"BODAC_2";6,549;4,506;6,548;3,441;5;4
"8";"Acidobacteriia__Solibacterales__Solibacteraceae (Subgroup 3)__Elev-16S-1166";"BODAC_2";2,604;5,873;2,156;4,155;6;8
"9";"Alphaproteobacteria__Rhizobiales__Hyphomicrobiaceae__Hyphomicrobium";"BODAC_2";5,135;3,061;1,831;1,049;7;7
"10";"Nitrospira__Nitrospirales__Nitrospiraceae__Nitrospira";"BODAC_2";3,63;4,988;1,453;8,231;9;9
"11";"Planctomycetacia__Pirellulales__Pirellulaceae__Pirellula";"BODAC_1";4,503;3,047;3,433;2,832;3;8
"12";"Planctomycetacia__Planctomycetales__Rubinisphaeraceae__uncultured";"BODAC_1";2,634;4,284;1,24;2,809;4;5
"13";"Anaerolineae__Caldilineales__Caldilineaceae__uncultured";"BODAC_2";3,882;3,304;1,837;1,493;9;7
"14";"Blastocatellia (Subgroup 4)__Blastocatellales__Blastocatellaceae__JGI 0001001-H03";"BODAC_2";3,826;1,891;3,524;1,334;8;7
"15";"Gammaproteobacteria__Betaproteobacteriales__Nitrosomonadaceae__IS-44";"BODAC_2";3,729;2,709;1,615;0,882;9;8
"16";"Planctomycetacia__Planctomycetales__Rubinisphaeraceae__uncultured";"BODAC_2";3,633;1,587;3,147;0,562;5;4
"17";"Bacteroidia__Chitinophagales__Chitinophagaceae__Ferruginibacter";"BODAC_1";2,954;3,59;1,564;1,458;6;6
"18";"Gammaproteobacteria__Betaproteobacteriales__Nitrosomonadaceae__MND1";"BODAC_2";3,255;3,365;2,692;2,704;9;8
"19";"Bacteroidia__Chitinophagales__Chitinophagaceae__Terrimonas";"BODAC_2";2,062;3,302;0,816;1,615;7;9
"20";"Gammaproteobacteria__Betaproteobacteriales__Nitrosomonadaceae__Nitrosomonas";"BODAC_1";3,279;2,396;2,105;1,919;7;7
"21";"Gammaproteobacteria__PLTA13__uncultured sludge bacterium__uncultured sludge bacterium";"BODAC_1";2,352;3,242;0,831;1,013;8;9
"22";"Chloroflexia__Chloroflexales__Roseiflexaceae__uncultured";"BODAC_2";3,238;1,176;2,144;;5;1
"23";"Blastocatellia (Subgroup 4)__Blastocatellales__Blastocatellaceae__JGI 0001001-H03";"BODAC_1";2,353;3,212;1,319;1,131;2;3
"24";"Alphaproteobacteria__Rhizobiales__Ambiguous_taxa__Ambiguous_taxa";"BODAC_2";2,116;3,201;0,475;1,154;7;8
"25";"Alphaproteobacteria__Rhizobiales__Hyphomicrobiaceae__Hyphomicrobium";"BODAC_1";3,169;2,851;0,933;0,652;5;6
