Phylum,Class,Order,Family,Genus,tax_label
Actinobacteria,Acidimicrobiia,Microtrichales,Microtrichaceae,uncultured,Acidimicrobiia__Microtrichales__Microtrichaceae__uncultured
Acidobacteria,Acidobacteriia,Solibacterales,Solibacteraceae (Subgroup 3),Bryobacter,Acidobacteriia__Solibacterales__Solibacteraceae (Subgroup 3)__Bryobacter
Acidobacteria,Acidobacteriia,Solibacterales,Solibacteraceae (Subgroup 3),Elev-16S-1166,Acidobacteriia__Solibacterales__Solibacteraceae (Subgroup 3)__Elev-16S-1166
Proteobacteria,Alphaproteobacteria,Rhizobiales,Ambiguous_taxa,Ambiguous_taxa,Alphaproteobacteria__Rhizobiales__Ambiguous_taxa__Ambiguous_taxa
Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium,Alphaproteobacteria__Rhizobiales__Hyphomicrobiaceae__Hyphomicrobium
Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Pedomicrobium,Alphaproteobacteria__Rhizobiales__Hyphomicrobiaceae__Pedomicrobium
Proteobacteria,Alphaproteobacteria,Rhizobiales,KF-JG30-B3,NA,Alphaproteobacteria__Rhizobiales__KF-JG30-B3__NA
Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales Incertae Sedis,uncultured,Alphaproteobacteria__Rhizobiales__Rhizobiales Incertae Sedis__uncultured
Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Alphaproteobacteria__Rhizobiales__Xanthobacteraceae__Bradyrhizobium
Chloroflexi,Anaerolineae,Caldilineales,Caldilineaceae,uncultured,Anaerolineae__Caldilineales__Caldilineaceae__uncultured
Chloroflexi,Anaerolineae,SBR1031,A4b,uncultured bacterium,Anaerolineae__SBR1031__A4b__uncultured bacterium
Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,Ferruginibacter,Bacteroidia__Chitinophagales__Chitinophagaceae__Ferruginibacter
Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,Terrimonas,Bacteroidia__Chitinophagales__Chitinophagaceae__Terrimonas
Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,uncultured,Bacteroidia__Chitinophagales__Chitinophagaceae__uncultured
Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Bacteroidia__Flavobacteriales__Flavobacteriaceae__Flavobacterium
Bacteroidetes,Bacteroidia,Sphingobacteriales,Lentimicrobiaceae,NA,Bacteroidia__Sphingobacteriales__Lentimicrobiaceae__NA
Acidobacteria,Blastocatellia (Subgroup 4),Blastocatellales,Blastocatellaceae,Aridibacter,Blastocatellia (Subgroup 4)__Blastocatellales__Blastocatellaceae__Aridibacter
Acidobacteria,Blastocatellia (Subgroup 4),Blastocatellales,Blastocatellaceae,JGI 0001001-H03,Blastocatellia (Subgroup 4)__Blastocatellales__Blastocatellaceae__JGI 0001001-H03
Acidobacteria,Blastocatellia (Subgroup 4),Blastocatellales,Blastocatellaceae,NA,Blastocatellia (Subgroup 4)__Blastocatellales__Blastocatellaceae__NA
Acidobacteria,Blastocatellia (Subgroup 4),Blastocatellales,Blastocatellaceae,Stenotrophobacter,Blastocatellia (Subgroup 4)__Blastocatellales__Blastocatellaceae__Stenotrophobacter
Acidobacteria,Blastocatellia (Subgroup 4),Blastocatellales,Blastocatellaceae,uncultured,Blastocatellia (Subgroup 4)__Blastocatellales__Blastocatellaceae__uncultured
Chloroflexi,Chloroflexia,Chloroflexales,Roseiflexaceae,uncultured,Chloroflexia__Chloroflexales__Roseiflexaceae__uncultured
Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,NA,Gammaproteobacteria__Betaproteobacteriales__Burkholderiaceae__NA
Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Nitrosomonadaceae,Ellin6067,Gammaproteobacteria__Betaproteobacteriales__Nitrosomonadaceae__Ellin6067
Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Nitrosomonadaceae,IS-44,Gammaproteobacteria__Betaproteobacteriales__Nitrosomonadaceae__IS-44
Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Nitrosomonadaceae,MND1,Gammaproteobacteria__Betaproteobacteriales__Nitrosomonadaceae__MND1
Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Nitrosomonadaceae,Nitrosomonas,Gammaproteobacteria__Betaproteobacteriales__Nitrosomonadaceae__Nitrosomonas
Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Nitrosomonadaceae,Nitrosospira,Gammaproteobacteria__Betaproteobacteriales__Nitrosomonadaceae__Nitrosospira
