Phylum;Class;Order;Family;Genus;tax_label;tax_name;functional_group
Actinobacteria;Acidimicrobiia;Microtrichales;Microtrichaceae;uncultured;Acidimicrobiia__Microtrichales__Microtrichaceae__uncultured;Microtrichaceae;others
Acidobacteria;Acidobacteriia;Solibacterales;Solibacteraceae (Subgroup 3);Bryobacter;Acidobacteriia__Solibacterales__Solibacteraceae (Subgroup 3)__Bryobacter;Solibacteraceae (Subgroup 3) - Bryobacter;others
Acidobacteria;Acidobacteriia;Solibacterales;Solibacteraceae (Subgroup 3);Elev-16S-1166;Acidobacteriia__Solibacterales__Solibacteraceae (Subgroup 3)__Elev-16S-1166;Solibacteraceae (Subgroup 3) - Elev-16S-1166;others
Proteobacteria;Alphaproteobacteria;Rhizobiales;Ambiguous_taxa;Ambiguous_taxa;Alphaproteobacteria__Rhizobiales__Ambiguous_taxa__Ambiguous_taxa;Rhizobiales;put_MnOB
Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Hyphomicrobium;Alphaproteobacteria__Rhizobiales__Hyphomicrobiaceae__Hyphomicrobium;Rhizobiales - Hyphomicrobium;MnOB
Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Pedomicrobium;Alphaproteobacteria__Rhizobiales__Hyphomicrobiaceae__Pedomicrobium;Rhizobiales - Pedomicrobium;MnOB
Proteobacteria;Alphaproteobacteria;Rhizobiales;KF-JG30-B3;NA;Alphaproteobacteria__Rhizobiales__KF-JG30-B3__NA;Rhizobiales - KF-JG30-B3;put_MnOB
Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiales Incertae Sedis;uncultured;Alphaproteobacteria__Rhizobiales__Rhizobiales Incertae Sedis__uncultured;Rhizobiales - Rhizobiales Incertae Sedis;put_MnOB
Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Bradyrhizobium;Alphaproteobacteria__Rhizobiales__Xanthobacteraceae__Bradyrhizobium;Rhizobiales - Bradyrhizobium;MnOB
Chloroflexi;Anaerolineae;Caldilineales;Caldilineaceae;uncultured;Anaerolineae__Caldilineales__Caldilineaceae__uncultured;Caldilineaceae;others
Chloroflexi;Anaerolineae;SBR1031;A4b;uncultured bacterium;Anaerolineae__SBR1031__A4b__uncultured bacterium;Anaerolineae - A4b;others
Bacteroidetes;Bacteroidia;Chitinophagales;Chitinophagaceae;Ferruginibacter;Bacteroidia__Chitinophagales__Chitinophagaceae__Ferruginibacter;Chitinophagaceae - Ferruginibacter;others
Bacteroidetes;Bacteroidia;Chitinophagales;Chitinophagaceae;Terrimonas;Bacteroidia__Chitinophagales__Chitinophagaceae__Terrimonas;Chitinophagaceae - Terrimonas;put_MnOB
Bacteroidetes;Bacteroidia;Chitinophagales;Chitinophagaceae;uncultured;Bacteroidia__Chitinophagales__Chitinophagaceae__uncultured;Chitinophagaceae;others
Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;Bacteroidia__Flavobacteriales__Flavobacteriaceae__Flavobacterium;Flavobacteriaceae - Flavobacterium;put_MnOB
Bacteroidetes;Bacteroidia;Sphingobacteriales;Lentimicrobiaceae;NA;Bacteroidia__Sphingobacteriales__Lentimicrobiaceae__NA;Lentimicrobiaceae;others
Acidobacteria;Blastocatellia (Subgroup 4);Blastocatellales;Blastocatellaceae;Aridibacter;Blastocatellia (Subgroup 4)__Blastocatellales__Blastocatellaceae__Aridibacter;Blastocatellia (Subgroup 4) - Aridibacter;put_MnOB
Acidobacteria;Blastocatellia (Subgroup 4);Blastocatellales;Blastocatellaceae;JGI 0001001-H03;Blastocatellia (Subgroup 4)__Blastocatellales__Blastocatellaceae__JGI 0001001-H03;Blastocatellia (Subgroup 4) - JGI 0001001-H03;put_MnOB
Acidobacteria;Blastocatellia (Subgroup 4);Blastocatellales;Blastocatellaceae;NA;Blastocatellia (Subgroup 4)__Blastocatellales__Blastocatellaceae__NA;Blastocatellia (Subgroup 4) - Blastocatellaceae;put_MnOB
Acidobacteria;Blastocatellia (Subgroup 4);Blastocatellales;Blastocatellaceae;Stenotrophobacter;Blastocatellia (Subgroup 4)__Blastocatellales__Blastocatellaceae__Stenotrophobacter;Blastocatellia (Subgroup 4) - Stenotrophobacter;put_MnOB
Acidobacteria;Blastocatellia (Subgroup 4);Blastocatellales;Blastocatellaceae;uncultured;Blastocatellia (Subgroup 4)__Blastocatellales__Blastocatellaceae__uncultured;Blastocatellia (Subgroup 4) - Blastocatellaceae;put_MnOB
Chloroflexi;Chloroflexia;Chloroflexales;Roseiflexaceae;uncultured;Chloroflexia__Chloroflexales__Roseiflexaceae__uncultured;Roseiflexaceae;others
Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;NA;Gammaproteobacteria__Betaproteobacteriales__Burkholderiaceae__NA;Burkholderiaceae;others
Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Nitrosomonadaceae;Ellin6067;Gammaproteobacteria__Betaproteobacteriales__Nitrosomonadaceae__Ellin6067;Nitrosomonadaceae - Ellin6067;put_AOB
Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Nitrosomonadaceae;IS-44;Gammaproteobacteria__Betaproteobacteriales__Nitrosomonadaceae__IS-44;Nitrosomonadaceae - IS-44;put_AOB
Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Nitrosomonadaceae;MND1;Gammaproteobacteria__Betaproteobacteriales__Nitrosomonadaceae__MND1;Nitrosomonadaceae - MND1;put_AOB
Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Nitrosomonadaceae;Nitrosomonas;Gammaproteobacteria__Betaproteobacteriales__Nitrosomonadaceae__Nitrosomonas;Nitrosomonadaceae - Nitrosomonas;AOB
Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Nitrosomonadaceae;Nitrosospira;Gammaproteobacteria__Betaproteobacteriales__Nitrosomonadaceae__Nitrosospira;Nitrosomonadaceae - Nitrosospira;AOB
Proteobacteria;Gammaproteobacteria;Gammaproteobacteria Incertae Sedis;Unknown Family;Acidibacter;Gammaproteobacteria__Gammaproteobacteria Incertae Sedis__Unknown Family__Acidibacter;Gammaproteobacteria Incertae Sedis - Acidibacter;others
Proteobacteria;Gammaproteobacteria;PLTA13;uncultured sludge bacterium;uncultured sludge bacterium;Gammaproteobacteria__PLTA13__uncultured sludge bacterium__uncultured sludge bacterium;Gammaproteobacteria - PLTA13;put_MnOB
Gemmatimonadetes;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae;uncultured;Gemmatimonadetes__Gemmatimonadales__Gemmatimonadaceae__uncultured;Gemmatimonadaceae;others
Thaumarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;NA;Nitrososphaeria__Nitrosopumilales__Nitrosopumilaceae__NA;Nitrososphaeria - Nitrosopumilaceae;AOA
Nitrospirae;Nitrospira;Nitrospirales;Nitrospiraceae;Nitrospira;Nitrospira__Nitrospirales__Nitrospiraceae__Nitrospira;Nitrospiraceae - Nitrospira;NOB_Commamox
Planctomycetes;OM190;uncultured bacterium;uncultured bacterium;uncultured bacterium;OM190__uncultured bacterium__uncultured bacterium__uncultured bacterium;OM190;others
Planctomycetes;Planctomycetacia;Gemmatales;Gemmataceae;uncultured;Planctomycetacia__Gemmatales__Gemmataceae__uncultured;Gemmataceae;others
Planctomycetes;Planctomycetacia;Pirellulales;Pirellulaceae;Pir4 lineage;Planctomycetacia__Pirellulales__Pirellulaceae__Pir4 lineage;Planctomycetales - Pir4 lineage;put_MnOB
Planctomycetes;Planctomycetacia;Pirellulales;Pirellulaceae;Pirellula;Planctomycetacia__Pirellulales__Pirellulaceae__Pirellula;Planctomycetales - Pirellula;put_MnOB
Planctomycetes;Planctomycetacia;Pirellulales;Pirellulaceae;uncultured;Planctomycetacia__Pirellulales__Pirellulaceae__uncultured;Planctomycetales - Pirellulaceae;others
Planctomycetes;Planctomycetacia;Planctomycetales;Rubinisphaeraceae;uncultured;Planctomycetacia__Planctomycetales__Rubinisphaeraceae__uncultured;Planctomycetales - Rubinisphaeraceae;others
Planctomycetes;Planctomycetacia;Planctomycetales;Schlesneriaceae;Planctopirus;Planctomycetacia__Planctomycetales__Schlesneriaceae__Planctopirus;Planctomycetales - Planctopirus;others
Planctomycetes;Planctomycetacia;Planctomycetales;uncultured;metagenome;Planctomycetacia__Planctomycetales__uncultured__metagenome;Planctomycetales;others
